"record_date","record_fiscal_year","record_calendar_month","current_month_rcpt_outly_amt","current_fytd_rcpt_outly_amt","classification_desc"
"2015-03-31","2015","03","49221256813.51","298675319792.86","National Defense"
"2015-04-30","2015","04","48150223281.72","346825543074.58","National Defense"
"2015-05-31","2015","05","48237082848.11","395067489008.83","National Defense"
"2015-06-30","2015","06","49317475627.76","444384964636.59","National Defense"
"2015-07-31","2015","07","51467910303.64","495852874940.23","National Defense"
"2015-08-31","2015","08","40440963201.93","536293838142.16","National Defense"
"2015-09-30","2015","09","55078367081.91","591372205224.07","National Defense"
"2015-10-31","2016","10","60443277865.83","60443277865.83","National Defense"
"2015-11-30","2016","11","43413617847.07","103856895712.90","National Defense"
"2015-12-31","2016","12","56590332928.73","160447228641.63","National Defense"
"2016-01-31","2016","01","39885847765.38","200333076407.01","National Defense"
"2016-02-29","2016","02","44309693049.04","244642769456.05","National Defense"
"2016-03-31","2016","03","54412933345.46","299055702801.51","National Defense"
"2016-04-30","2016","04","49325382484.11","348381085285.62","National Defense"
"2016-05-31","2016","05","42258183078.44","390639284770.82","National Defense"
"2016-06-30","2016","06","48815039476.31","439454446247.13","National Defense"
"2016-07-31","2016","07","46890534753.13","486344981000.26","National Defense"
"2016-08-31","2016","08","48666322167.45","535011303167.71","National Defense"
"2016-09-30","2016","09","60292136267.70","595303439435.41","National Defense"
"2016-10-31","2017","10","52026580272.45","52026580272.45","National Defense"
"2016-11-30","2017","11","48020999599.50","100047579871.95","National Defense"
"2016-12-31","2017","12","56918073329.42","156965653201.37","National Defense"
"2017-01-31","2017","01","40314949326.39","197280602527.76","National Defense"
"2017-02-28","2017","02","45890965085.49","243171567613.25","National Defense"
"2017-03-31","2017","03","57692450480.64","300864018093.89","National Defense"
"2017-04-30","2017","04","40373344883.26","341237362977.15","National Defense"
"2017-05-31","2017","05","48962880130.75","390200243107.90","National Defense"
"2017-06-30","2017","06","57804639515.47","448004882623.37","National Defense"
"2017-07-31","2017","07","43108901127.31","491113783750.68","National Defense"
"2017-08-31","2017","08","51992801549.12","543106585299.80","National Defense"
"2017-09-30","2017","09","57171335191.07","600277920490.87","National Defense"
